이	1
그	2
저	3
것	4
수	5
나	6
있다	7
하다	8
되다	9
않다	10
사람	11
우리	12
그리고	13
아니다	14
보다	15
때문	16
일	17
년	18
가다	19
같다	20
주다	21
대하다	22
말	23
또	24
만	25
크다	26
위하다	27
통하다	28
그러나	29
오다	30
알다	31
씨	32
등	33
때	34
을	35
를	36
에	37
이	38
가	39
은	40
는	41
에서	42
와	43
의	44
로	45
으로	46
도	47
만	48
를	49
이	50
한국	1001
서울	1002
세계	1003
경제	1004
정치	1005
사회	1006
문화	1007
역사	1008
교육	1009
과학	1010
기술	1011
환경	1012
건강	1013
미래	1014
발전	1015
변화	1016
시대	1017
국가	1018
인간	1019
자연	1020
정부	3001
산업	3002
기업	3003
시장	3004
투자	3005
무역	3006
금융	3007
자본	3008
경쟁	3009
혁신	3010
